PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
52/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAL DE EXPEDIENTE (PROTETOR RIGIDO PARA CRACHÁ);;708,48;REITORIA
53/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO EM TIC;;17.000,00;REITORIA
54/2019;MANUTENÇÃO CORRETIVA DO GRUPO MOTOR GER ADOR VISANDO CONSERTO DO PROBLEMA COM RADIADOR DO EQUIPAMENTO;;3.600,00;REITORIA
55/2019;SERVIÇOS DE ORIENTAÇÃO JURÍDICA EM LICI TAÇÕES E CONTRATOS;;3.336,00;REITORIA
57/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LINK DE COMUNICAÇÃO DE DADOS PARA FORNECER LINK REDUNDANTE NA UNIDADE DA VILAS OFICINAS DO IFPR;;2.398,00;REITORIA
58/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;1.487,83;REITORIA
59/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;1.418,71;REITORIA
60/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;1.323,04;REITORIA
61/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO/RECARGA DE EXTINTORES E INSPEÇÃO/ENSAIO HIDROSTÁTICO DE MANGUEIRAS DE INCÊNDIO.;;623;REITORIA
64/2019;CONTRATAÇÃO DOS SERVIÇOS PARA A REALIZAÇÃO DE SERVIÇOS GRÁFICOS.;;3.631,80;REITORIA
65/2019;"IMPRESSORA TÉRMICA (USB/ETHERNET) CONEX ÕES: USB, ETHERNET E SERIAL; RESOLUÇÃO: 203 DPI; PELO MENOS 8 MB DE MEMÓRIA RAM E 4MB DE MEMÓR IA FLASH; LARGURA DE IMPRESSÃO: ATÉ 104 MM; SISTEMA DE RIBBON: CAPACIDADE DE 1 ROLO; VELOCIDADE MÁXIMA DE IMPRESSÃO: DE PELO MENOS 76 MM/S; MODO DE IMPRESSÃO: TRANSFERÊNCIA TÉRMICA/TÉRMICA DIRETA; RECURSOS ADICIONAIS: CAPACIDADE DE IMPRESSÃO DIRETAMENTE DE ARQUIVOS HTML E PDF; TENSÃO ALIMENTAÇÃO: 110/220 V; ACESSÓRIOS/ITENS ADICIONAIS: MANUAIS EM PORTUGUÊS, SOFTWARE DE GERE";;14.500,00;REITORIA
66/2019;O PRESENTE TERMO DE REFERÊNCIA TEM POR OBJETIVO SELECIONAR PESSOA JURÍDICA ESPECIALIZA DA NO FORNECIMENTO DE MOBILIÁRIO DE BIBLIOTECA E EM GERAL, NECESSÁRIOS A ATENDER AS DEMANDAS D A REITORIA DO IFPR.;;11.653,64;REITORIA
67/2019;CONTRATAÇÃO DE MANUTENÇÃO CORRETIVA/PREVENTIVA VEICULAR;;6.539,50;REITORIA
36/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO SISTEMA DE ALARME MONITORADO ELETRONICAMENTE, PARA ATENDER A DEMANDA DO CAMPUS JAGUARIAÍVA, CONFORME DETALHAMENTO CONSTANTE NO PROJETO BÁSICO E SEUS ANEXOS;;25.550,50;REITORIA
43709;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE EXTINTORES E REALIZAÇÃO DE TESTE HIDROSTÁTICO PARA O INSTITUTO FEDERAL DO PARANÁ CAMPUS CAPANEMA.;;1.475,00;REITORIA
15/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE EXTINTORES E REALIZAÇÃO DE TESTE HIDROSTÁTICO PARA O INSTITUTO FEDERAL DO PARANÁ CAMPUS CAPANEMA.;;1.475,00;REITORIA
16/2019;O PRESENTE PROCESSO TEM POR OBJETIVO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE RECARGA DE EXTINTORES E REALIZAÇÃO DE MANUTENÇÃO EM EXTINTORES PARA O INSTITUTO FEDERAL DO PARANÁ CAMPUS PINHAIS.;;590;REITORIA
17/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS RELATIVOS A SEGURO PREDIAL PARA O INSTITUTO FEDERAL DO PARANÁ, CAMPUS CAPANEMA;;1.797,55;REITORIA
18/2019;CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO ELÉTRICA EMERGENCIAL NO EDIFÍCIO AROEIRA;;5.890,00;REITORIA
62/2019;CONTRATAÇÃO DE REMANESCENTE PARA A CONSTRUÇÃO DO BLOCO DIDÁTICO E GUARITA - CAMPUS COL OMBO DO IFPR, EM CONSEQUÊNCIA DE RESCISÃO UNILATERAL DO CONTRATO N 61/2018 - IFPR - CAMPUS COLOMBO, FIRMADO COM A EMPRESA KUMER ENGENHARIA E CONSTRUÇÕES EIRELI, ADVINDO DO RDC 04/2018 - IFPR;;7.290.501,32;REITORIA
41/2019;FORNECIMENTO DE ENERGIA ELÉTRICA PARA ATENDER O CAMPUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019.;;11.000,00;REITORIA
jan/19;CONTRATAÇÃO DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA O CAMPUS AVANÇADO BARRACÃO NO EXERCÍCIO DE 2019;;36.000,00;REITORIA
fev/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA - CAMPUS PINHAIS PARA O EXE RCÍCIO DE 2019;;72.000,00;REITORIA
mar/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA - CAMPUS COLOMBO, EXERCÍCIO 2019;;60.000,00;REITORIA
jun/19;CONTRATAÇÃO DE FORNECIMENTO DE ENERGIA ELÉTRICA COM CONCESSIONÁRIO AUTORIZADO AO IFPR C. JAGUARIAÍVA;;52.800,00;REITORIA
ago/19;FORNECIMENTO DE ENERGIA ELÉTRICA PARA A TENDER O CAMPUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019;;45.000,00;REITORIA
out/19;CONTRATAÇÃO DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA O CAMPUS CAPANEMA NO EXERCÍCIO DE 2019.;;102.000,00;REITORIA
56/2019;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA TODAS AS SEDES DA REITORIA - EXERCÍCIO 2020.;;220.800,00;REITORIA
63/2019;CONTRATAÇÃO DE SERVIÇO DE ENERGIA ELÉTRICA PARA O EXERCÍCIO 2019 - DSEAD;;86.400,00;REITORIA
19/2019;CONTRATAÇÃO DE SERVIÇOS PRESTADOS POR ENTIDADE COM NOTÓRIA ESPECIALIZAÇÃO PARA A REALIZAÇÃO DE CONCURSO PÚBLICO DO IFPR;;5.890,00;REITORIA
23/2019;SERVIÇO DE PLANEJAMENTO, ORGANIZAÇÃO, O PERACIONALIZAÇÃO E ACOMPANHAMENTO DO PROCESSO S ELETIVO IFPR 2020;;1.030.949,00;REITORIA
jan/19;Empenho para atender despesa com fornecimento de energia elétrica;;162.000,00;ASSIS CHATEAUBRIAND
fev/19;Contratação de serviço técnico especial izado de adequação da rede elétrica interna do Bloco II do Instituto Federal do Paraná;;3.914,00;ASSIS CHATEAUBRIAND
mar/19;Contratação de serviços de treinamento e aperfeiçoamento de pessoal na Administração P ública: serviços de treinamento e aperfeiçoamen to de pessoal, capacitação em Governança da Seg urança da Informação.;;2.048,00;ASSIS CHATEAUBRIAND
abr/19;Serviço técnico especializado para manu tenção corretiva de ares-condicionados com forn ecimento de peças e mão de obra completa para instalação.;;2.150,00;ASSIS CHATEAUBRIAND
mai/19;Aquisição de bateria automotiva de 100 amperes para o veículo micro-Ônibus Marcopolo V olare, placas ATZ-9123;;430;ASSIS CHATEAUBRIAND
jun/19;Serviço de emissão, renovação e validaç ão de Certificado Digital do tipo A3, pessoa fí sica (e-CPF), padrão ICP Brasil. Validade de 3 (três anos).;;198;ASSIS CHATEAUBRIAND
jul/19;ontratação de seguro predial para o IF PR - Campus Assis Chateaubriand com cobertura c ontra danos ou perda total causada por incêndio , raio e explosão de qualquer natureza, vendava l, danos elétricos, furto e roubo de bens, queb ra de vidros e responsabilidade civil.;;5.107,55;ASSIS CHATEAUBRIAND
ago/19;Contratação de empresa especializada em levantamento topográfico e medição de imóvel u rbano;;3.800,00;ASSIS CHATEAUBRIAND
set/19;Aquisição de DOMO INFLÁVEL 6 METROS;;17.500,00;ASSIS CHATEAUBRIAND
out/19;Aquisição de DOMO INFLÁVEL 6 METROS;;17.500,00;ASSIS CHATEAUBRIAND
nov/19;Contratação de empresa prestadora de se rviços de seguro para os veículos do IFPR;;4.088,81;ASSIS CHATEAUBRIAND
dez/19;Aquisição de recarga de extintores (águ a pressurizada 10L, pó químico BC 4 kg, pó quím ico seco 6 kg, gás carbônico CO2 4 kg, pó quími co ABC 4 kg, gás carbônico CO2 6 kg), mangueira 15 metros 1 1/2 para combate a incêndio e test e hidrostático de mangueira de incêndio de 1 1/ 2 - tipo 2;;8.712,00;ASSIS CHATEAUBRIAND
jan/19;Fornecimento e emissão de certificado digital (token);;1.122,00;CAMPO LARGO
fev/19;Aquisição rolo bobina;;636;CAMPO LARGO
mar/19;Aquisição bateria rádio comunicador;;283,03;CAMPO LARGO
mai/19;Fornecimento e instalação de 02 unidades de motor deslizante;;2.210,00;CAMPO LARGO
abr/19;Seguro Patrimonial;;2.389,56;CAMPO LARGO
jun/19;Aquisição fechadura elétrica;;930;CAMPO LARGO
jul/19;Aquisição de gases industriais;;460;CAMPO LARGO
ago/19;Manutenção e a substituição da bateria de comando de dois centros de usinagem;;1.718,60;CAMPO LARGO
set/19;Recarga de extintores e ensaio hidrostático;;269;CAMPO LARGO
jan/19;Estimativa das despesas com forneciment o de energia elétrica do Campus Avançado Quedas do Iguaçu no exercício de 2019;;39.600,00;CASCAVEL
fev/19;Serviço de desinfecção e monitoramento da água de 01 poço artesiano - Campus Quedas do Iguaçu;;5.400,00;CASCAVEL
mar/19;Contratação de empresa especializada pa ra prestação de serviços de manutenção preventi va e corretiva nos aparelhos de ar condicionado instalados no Campus Cascavel do IFPR;;14.970,00;CASCAVEL
abr/19;Fornecimento de Controlador de acesso t ipo USB token e instalação de Certificado digit al e-CPF tipo A3, validade 36 meses;;2.778,00;CASCAVEL
mai/19;Aquisição de recarga de botijão de gás GLP 13 kg - Campus Cascavel;;900;CASCAVEL
jun/19;Serviço de Coffe Break para evento inst itucional no Campus Avançado Quedas do Iguaçu;;1.035,48;CASCAVEL
jul/19;Conserto da Central de alarmes de incên dio - Campus Cascavel;;370;CASCAVEL
ago/19;Aquisição de cabos VGA e Displayport - Campus Cascavel;;970;CASCAVEL
set/19;Contratação de empresa especializada pa ra prestação de serviços de manutenção das área s verdes do Campus Cascavel do IFPR.;;14.882,08;CASCAVEL
out/19;Contratação de serviços de marcenaria c om fornecimento de materiais para o Campus de C ascavel;;4.125,00;CASCAVEL
nov/19;Aquisição de Fonte de Alimentação para Storage - Campus Cascavel;;4.642,14;CASCAVEL
dez/19;Contratação de empresa especializada em prestação de serviços de Seguro Predial;;2.349,22;CASCAVEL
13/2019;Contratação de serviços para manutenção elétrica predial para o Campus Avançado Quedas do Iguaçu;;1.542,29;CASCAVEL
14/2019;Aquisição de Controle e Pilhas para Con trole de Portão Eletrônico Campus Cascavel;;155;CASCAVEL
15/2019;Material de Limpeza e Higienização;;902;CASCAVEL
16/2019;Material de Limpeza e Higienização;;4.640,60;CASCAVEL
17/2019;Material de Limpeza e Higienização;;989;CASCAVEL
18/2019;Serviço de recarga dos extintores de in cêndio, teste hidrostático e manutenção das man gueiras dos hidrantes do IFPR Campus Cascavel.;;1.702,00;CASCAVEL
19/2019;Serviço de vigilância patrimonial por m eio de monitoramento eletrônico;;4.200,00;CASCAVEL
20/2019;Serviço de marcenaria - confecção e ins talação de portas para armários de escritório;;1.397,00;CASCAVEL
21/2019;Contratação de serviços para conserto d e máquina de lavar modelo Eletrolux 8kg;;350;CASCAVEL
22/2019;Contratação de Empresa Especializada em Prestação de Serviço de Seguro Predial Campus Avançado Quedas do Iguaçu;;3.772,17;CASCAVEL
23/2019;Serviço para conserto de máquina encera deira modelo Rohmer IFPR Campus Cascavel;;85;CASCAVEL
24/2019;Aquisição de Fechadura modelo Serralhei ro Externa para o Campus Cascavel;;347;CASCAVEL
25/2019;Aquisição de tubos de concreto para o I FPR Campus Cascavel;;264,8;CASCAVEL
26/2019;Aquisição de placas de identificação de Extintores e Mangueira de Hidrante para o IFPR Campus Cascavel;;364;CASCAVEL
27/2019;Aquisição de kit de sonorização em Torr e com potência entre 1000W a 2200W Campus Avanç ado Quedas do Iguaçu;;4.168,00;CASCAVEL
28/2019;Aquisição de Forno Micro-Ondas 34 litro s para o IFPR Campus Avançado Quedas do Iguaçu;;1.190,00;CASCAVEL
29/2019;Aquisição e instalação de um a parelho de ar condicionado 30.000 BTU s - Campus Avança do Quedas do Iguaçu;;5.135,00;CASCAVEL
30/2019;Contratação de empresa para aquisição d e CERTIFICADO DIGITAL COM TOKEN A3 PESSOA JURÍD ICA (E-CNPJ) para o Campus Cascavel.;;434,25;CASCAVEL
31/2019;Aquisição de tubos de concreto 800mm pa ra o Campus Cascavel;;328;CASCAVEL
32/2019;Aquisição de Caixa de Passagem de Concr eto para o IFPR Campus Cascavel;;169,35;CASCAVEL
33/2019;Aquisição de recargas de gás de cozinha GLP 13 KG;;900;CASCAVEL
34/2019;Contratação de empresa especializada em em treinamento para Formação de Brigadistas de Incêndio Voluntários, ministrado por brigadist a credenciado junto ao Corpo de Bombeiros Milit ares do Estado do Paraná para o Campus Avançado Quedas do Iguaçu;;3.340,00;CASCAVEL
35/2019;Aquisição de Lixeiras para Coleta Selet iva para IFPR Campus de Cascavel.;;7.192,38;CASCAVEL
36/2019;Aquisição de suporte para teto para pro jetor multimídia para o IFPR Campus Cascavel;;1.440,00;CASCAVEL
37/2019;Aquisição de carregadores de 10V 600mA para a bateria de 9797 Lego Mindstorms EV3 para o Campus Avançado Quedas do Iguaçu;;1.259,00;CASCAVEL
38/2019;Aquisição de materiais para instalação de rede de fibra ótica no IFPR Campus Cascavel;;14.596,48;CASCAVEL
39/2019;Aquisição de Equipamentos de Vigilância e Monitoramento para o IFPR Campus Cascavel;;8.861,00;CASCAVEL
40/2019;Aquisição de adesivo para identificação de coleta seletiva para o IFPR Campus Cascavel;;230;CASCAVEL
41/2019;Aquisição de materiais de infraestrutur a consumo para o Curso de Edificações e Manuten ção do Campus.;;7.365,43;CASCAVEL
42/2019;Contratação de serviços de montagem e f abricação de móveis planejados e divisórias par a mesas em L para IFPR Campus Cascavel;;14.980,00;CASCAVEL
43/2019;Contratação de serviços de montagem e f abricação de móveis planejados e divisórias par a para mesas em L para o IFPR Campus Cascavel.;;14.980,00;CASCAVEL
44/2019;Aquisição de materiais elétricos para o novo Bloco Didático do IFPR Campus Cascavel.;;8.835,89;CASCAVEL
45/2019;Contratação de serviços de montagem e f abricação de móveis planejados para laboratório e divisórias para mesas em L para IFPR Campus Cascavel;;14.980,00;CASCAVEL
46/2019;Aquisição de gaveteiros volantes para o IFPR - Campus Cascavel;;14.350,00;CASCAVEL
47/2019;Biombo Aramado de Chão Duplo Branco (me didas aproximadas 1,60 x 1,30m). Produto de fer ro/ aço reforçado;;2.906,77;CASCAVEL
48/2019;Aquisição de Balcão para Forno e Micro- Ondas, com mínimo 2 portas - Branco;;1.000,00;CASCAVEL
49/2019;Aquisição de suporte de parede de TV pa ra o IFPR Campus Cascavel.;;150;CASCAVEL
50/2019;Estimativa de despesas com fornecimento de energia elétrica para o Instituto Federal d o Paraná - Campus Cascavel para o exercício 2020;;181.859,00;CASCAVEL
51/2019;Aquisição de Central de Alarme de Incên dio para o IFPR Campus Cascavel.;;950;CASCAVEL
52/2019;Aquisição de materiais de consumo de TI C e Processamento de Dados;;8.413,20;CASCAVEL
53/2019;Estimativa das despesas para o fornecim ento de energia elétrica do IFPR - Campus Avanç ado Quedas do Iguaçu para o exercício 2020;;42.000,00;CASCAVEL
54/2019;Aquisição de complemento de câmeras de segurança para o IFPR Campus Cascavel;;5.334,00;CASCAVEL
55/2019;Aquisição de materiais para manutenção Laboratório de Informática do IFPR - Campus Cas cavel.;;1.558,83;CASCAVEL
jan/19;Contratação de empresa especializada em locação e manutenção de sanitário químicos par a uso no estacionamento do IFPR;;7.200,00;CURITIBA
fev/19;Recarga de botijão de cozinha P13 GLP p ara atender a demanda de copa do Campus Curitib a do Instituto Federal do Paraná, na preparação do café pelos terceirizados, e uso no curso de prótese dentária;;3.250,00;CURITIBA
mar/19;Contratação de empresa especializada na realização de manutenção corretiva e preventiv a em solução de controle de acesso (catracas) d o IFPR;;5.940,00;CURITIBA
abr/19;Aquisição de carimbos para atender as d emandas do Instituto Federal do Paraná;;1.894,70;CURITIBA
mai/19;Contratação de empresa especializada em serviço de chaveiro;;2.301,50;CURITIBA
jun/19;Contratação de forma emergencial de em presa especializada para demolição e retirada d e entulhos da estrutura de cobertura do barracã o localizado paralelo à avenida Getúlio Vargas no antigo prédio da Mate Real do Campus Curitiba;;53.409,39;CURITIBA
ago/19;Contratação de empresa especializada em prestação de serviços de assistência técnica, para manutenção preventiva e corretiva dos elev adores do Campus Curitiba - IFPR.;;3.250,00;CURITIBA
out/19;Aquisição de açúcar, tipo refinado, car acterísticas adicionais branco, 1 qualidade e com validade mínima de 1 ano a contar do recebi mento, para atender as necessidades do Campus C uritiba - IFPR;;1.215,50;CURITIBA
14/2019;Placa em aço inox escovado, com gravaçã o em baixo relevo, medindo: 40X60 cm., conform e modelo dizeres do anexo I, II e III;;1.584,00;CURITIBA
15/2019;Contratação DE SERVIÇO DE MOVIMENTAÇÃO DE MÁQUINAS - LAB. MECÂNICA;;7.100,00;CURITIBA
16/2019;Contratação DE SERVIÇO DE LIGAÇÃO, DESL IGAMENTO E NIVELAMENTO - LAB. MECÂNICA;;7.704,00;CURITIBA
17/2019;Seguro Patrimonial COBERTURAS: INCÊND IO, VENDAVAL, DANOS ELÉTRICOS, ROUBOS DE BENS;;3.099,08;CURITIBA
18/2019;Contribuição para custeio de iluminação pública do Campus Curitiba do Instituto Federa l do Paraná;;3.600,00;CURITIBA
19/2019;Contratação de serviços de fornecimento de energia elétrica para o Campus Curitiba -IF PR, para o exercício de 2020;;480.000,00;CURITIBA
20/2019;Contratação de serviços de fornecimento de energia elétrica;;420.000,00;CURITIBA
21/2019;Contratação de seguro veicular veiculo Ford Ranger XL Placa ARF-7893;;1.906,13;CURITIBA
140/2019;Seguro Patrimonial COBERTURAS: INCÊND IO, VENDAVAL, DANOS ELÉTRICOS, ROUBOS DE BENS - CAMPUS CURITIBA- IFPR.;;3.099,08;CURITIBA
jan/19;Contratação dos serviços de emissão e renovação de certificados digitais para atender as demandas do Campus Foz do Iguaçu.;;3.510,00;FOZ DO IGUAÇU
fev/19;Contratação de empresa para prestação do serviço de manutenção do portão eletrônico instalado na portaria Avenida Paraná, com vistas à atender as necessidades do Instituto Federal do Paraná – IFPR.;;320;FOZ DO IGUAÇU
mar/19;Contratação de empresa especializada no fornecimento de coffee-break para o XII Encontro de Gestão de Pessoas do Instituto Federal do Paraná, a ser realizado nos dias 3 e 4 de abril no campus Foz do Iguaçu.;;1.600,00;FOZ DO IGUAÇU
abr/19;Contratação de empresa para renovação da apólice de seguro predial, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;6.962,82;FOZ DO IGUAÇU
mai/19;Contratação de empresa especializada no fornecimento de lanches e refeições, para atender aos participantes da fase final da Olimpíada Brasileira de Agropecuária, a ser realizada no Campus Foz do Iguaçu entre os dias 27 e 28 de setembro.;;15.400,00;FOZ DO IGUAÇU
jun/19;Contratação de empresa especializada no fornecimento de materiais gráficos diversos para divulgação da Olimpíada Brasileira de Agropecuária, a ser realizada no Campus Foz do Iguaçu entre os dias 27 e 28 de setembro, além de outros produtos desta natureza utilizados na promoção de eventos e atividades educacionais do campus.;;7.549,00;FOZ DO IGUAÇU
jul/19;Contratação de empresa especializada no fornecimento de recargas de gás GLP de 13kg e 45kg, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;8.773,50;FOZ DO IGUAÇU
ago/19;Contratação de empresa especializada no serviço de locação de caçambas estacionárias, para atender às demandas do Instituto Federal do Paraná – IFPR.;;1.600,00;FOZ DO IGUAÇU
set/19;Contratação de empresa especializada em manutenção de aparelhos de ar condicionado, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;17.550,00;FOZ DO IGUAÇU
out/19;Contratação de empresa especializada em conserto de rede elétrica, para atender às necessidades do Instituto Federal do Paraná – IFPR.;;2.918,80;FOZ DO IGUAÇU
jan/19;Seguro auto;;4.520,00;IRATI
fev/19;Remanescente de serviço para o posto de Oficial de Manutenção Predial;;32.814,39;IRATI
mar/19;Seguro predial;;6.261,81;IRATI
abr/19;Materiais elétricos para ampliação da rede elétrica do ginásio esportivo;;1.826,84;IRATI
mai/19;Transporte eventual (veículo e motorista);;700;IRATI
jun/19;Certificados digitais;;1.240,00;IRATI
jul/19;Serviços de desinsetização, desratização, limpeza de caixas d’água e reservatórios de água para incêndio;;5.600,00;IRATI
ago/19;Aquisição e manutenção (recargas e testes) de extintores de incêndio;;2.255,00;IRATI
set/19;Equipamentos para robótica;;13.527,70;IRATI
out/19;Contratação de empresa de sonorização para cerimônia de formatura;;1.350,00;IRATI
SI;Contratação de PJ para emissão, renovação e validação de certificado digital do tipo A3 com fornecimento de token.;;1.761,00;IVAIPORÃ
SI;Aquisição de Concreto Betuminoso Usinado a Quente (CBUQ) para pavimentação asfáltica (COM TRANSPORTE) para atendimento à demanda de manutenção do IFPR Campus Ivaiporã.;;118.860,00;IVAIPORÃ
SI;Dispensa de Licitação para atender estimativa de despesas com energia elétrica do Campus Ivaiporã do Instituto Federal do Paraná para o Exercício de 2020.;;132.000,00;IVAIPORÃ
13/2019;Contratação de empresa especializada no fornecimento de materiais de consumo para instalação de compressor de ar, tipo parafuso, para atender a demanda do eixo de Controle e Processos Industriais do IFPR Campus Jacarezinho.;;588,89;JACAREZINHO
14/2019;Contratação de empresa especializada no fornecimento de materiais elétrico para instalação de compressor de ar, tipo parafuso, para atender a demanda do eixo de Controle e Processos Industriais do IFPR Campus Jacarezinho.;;341,9;JACAREZINHO
dez/19;Contratação de empresa especializada no fornecimento de ventilador axial para atender a demanda do eixo de Controle e Processos Industriais do IFPR Campus Jacarezinho.;;809,2;JACAREZINHO
set/19;Contratação de empresa especializada na manutenção corretiva de aparelhos de ar-concionado para atender a demanda do IFPR Campus Jacarezinho.;;5.497,00;JACAREZINHO
nov/19;Contratação de empresa especializada na prestação de serviço de instalaçõ de divisórias drywall, com acabamento e pintura, com fornecimento de material, para atender a demanda do IFPR Campus Jacarezinho.;;17.309,70;JACAREZINHO
out/19;Contratação de empresa especializada no fornecimento de recarga de gás, para atender a demanda do eixo de Controle e Processos Industriais do IFPR - Campus Jacarezinho.;;440;JACAREZINHO
ago/19;Contratação de empresa especializada no fornecimento de equipamentos de informática para a estruturação da rede lógica do IFPR Campus Jacarezinho.;;17.456,04;JACAREZINHO
jul/19;Contratação de empresa especializada no fornecimento de material elétrico para o IFPR - Campus Jacarezinho.;;16.750,00;JACAREZINHO
jun/19;Contratação de empresa especializada no fornecimento de materiais de metal para atender a demanda do eixo de Controle e Processos Industriais do IFPR Campus Jacarezinho.;;800,7;JACAREZINHO
mai/19;Contratação de empresa especializada no fornecimento de fluído de corte emulsivo para atender a demanda do eixo de Controle e Processos Industriais do IFPR - Campus Jacarezinho.;;204;JACAREZINHO
jan/19;Contratação de empresa especializada na prestação de serviços de engenharia/obras, para adequação da estrutura de acessibilidade, com fornecimento de materiais, para atender a demanda administrativa do Instituto Federal do Paraná - Campus Jacarezinho.;;20.879,64;JACAREZINHO
fev/19;Contratação de empresa especializada na prestação de serviços de seguro predial para atender a demanda do Instituto Federal do Paraná - Campus Jacarezinho. (A proposta foi cancelada pela empresa após a conclusão do processo, sendo necessário convocar a remanescente).;;7.867,81;JACAREZINHO
mar/19;Contratação de empresa especializada na prestação de serviços de corretagem de seguro predial.;;8.489,34;JACAREZINHO
abr/19;Contratação de empresa especializada na prestação de serviços de recarga para extintores de incêndio para atender a demanda do IFPR Campus Jacarezinho.;;1.561,00;JACAREZINHO
15/2019;Empenho para atender despesas com a contratação de serviço de fornecimento de energia elétrica para atender a demanda do Instituto Federal do Paraná - Campus Jacarezinho. (A dispensa não foi efetivada no exercício por problemas de transmissão para o DOU, tendo sido publicada em 2020, sob o número 01/2020.;;157.776,00;JACAREZINHO
jan/19;Material para conserto dos retorno da Piscina;;14.492,00;PALMAS
jun/19;Aquisição de cabos HDMI 15 Metros;;3.545,00;PALMAS
jul/19;A aquisição de dispositivo de armazenamento e serviços de emissão/renovação de certificado digital;;4.646,00;PALMAS
ago/19;Serviço de impressão de flyers no tamanho A5, no couché brilho 90 gr, cores 4x4 padrão CMYK;;850;PALMAS
set/19;Impressão de cartaz no tamanho A3, no couché brilho 150 gr, cores 4x0 padrão CMYK.;;320;PALMAS
out/19;Serviço de Intalação dos retorno da piscina;;2.336,00;PALMAS
nov/19;Serviço de Manutenção de ar-condicionado (retirada e re-instalação);;350;PALMAS
dez/19;Seguro Veicular;;2.060,00;PALMAS
13/2019;Aquisição de Colarinho e Chapéu Chaminé Caldeira;;650;PALMAS
14/2019;Serviço de instalação do Colarinho e Chapéu Chaminé Caldeira;;129;PALMAS
15/2019;Software Simulador de Estratégia Empresarial;;2.060,00;PALMAS
16/2019;Aquisição das baterias para a troca nos rádios comunicadores do IFPR - Campus Palmas;;1.147,20;PALMAS
17/2019;"Aquisição de Troféus para Premiação no Evento Institucional ""IF em Contextos""";;450;PALMAS
18/2019;Aquisição de Água;;3.000,00;PALMAS
19/2019;Aquisição de Fibra óptica e demais materiais de consumo necessário;;3.827,50;PALMAS
20/2019;Aquisição de itens permanente para a instalação de fibra óptica;;1.350,00;PALMAS
21/2019;Serviço de instalação de fibra óptica;;14.670,00;PALMAS
22/2019;Seguro Predial Palmas e Coronel Vivida;;12.765,77;PALMAS
23/2019;"Aquisição de equipamentos de áudio que atendam aos objetivos do projeto ""Promoarte - Arte e Cultura a qualquer hora""";;5.842,88;PALMAS
24/2019;Empenho para atender despesa com fornecimento de energia para o Campus Palmas do Instituto Federal do Paraná, para o ano de 2020.;;360.000,00;PALMAS
25/2019;Aquisição de Acervo Bibliográfico;;11.704,40;PALMAS
26/2019;Aquisição de Acervo Bibliográfico;;2.522,28;PALMAS
17/2019;ITENS ELETRÔNICA PROJETO GIL;;539,9;PARANAGUÁ
17/2019;COMPONENTES ELETRÔNICOS PROJETO CAMPUS INTELIGENTE;;883,5;PARANAGUÁ
19/2019;SERVIÇOS GRAFICOS PROJETO LITORAL AGROECOLÓGICO;;1.490,50;PARANAGUÁ
16/2019;TRANSPORTE PARA SEBRAE EXPERIENCE;;1.600,00;PARANAGUÁ
18/2019;ITENS ELETRÔNICA PROJETO GIL;;1.751,50;PARANAGUÁ
mar/19;GASOLINA E ÓLEO;;2.061,00;PARANAGUÁ
14/2019;CHAVEIRO;;2.502,10;PARANAGUÁ
dez/19;REPARO REFRIGERADORES;;2.800,00;PARANAGUÁ
mai/19;ILUMINAÇÃO E SONORIZAÇÃO;;3.000,00;PARANAGUÁ
