PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
07/2020;Aquisição de software de simulação gerencial;1;R$ 11.846,52;PALMAS;
01/2020;Evento de capacitação do(a) servidor(a) RICELE GONÇALVES AGRA, SIAPE 1310597, ocupante do cargo efetivo de  ADMINISTRADOR em exercício na(o) CAMPUS CURITIBA, para participação no(a) CURSO LICITAÇÃO, CONTRATAÇÃO DIRETA, PREGÃO E SRP que será realizado(a) nos dias 14/04/2020 a 17/04/2020;1;R$ 3.690,00;CURITIBA;
02/2020;Participação do servidor(a) ADRIANO STADLER, no curso:  XI EGEPE - ENCONTRO DE ESTUDOS SOBRE EMPREENDEDORISMO E GESTÃO DE PEQUENAS EMPRESAS, que será realizado nos dias 25/03/2020 à 27/03/2020 em Belo Horizonte - MG.;1;R$ 730,00;CURITIBA;
10/2020;Evento de capacitação sobre Reequilíbrio Econômico-Financeiro dos Contratos Administrativos Repactuação, Reajuste e Revisão;1;R$ 1.290,00;CURITIBA;
30/2020;Atender despesas com inscrição do servidor no evento : Revisão e Repactuação de Preços à Luz do Princípio da Preservação do Equilíbrio Econômico Financeiro nos Contratos Administrativos com Ênfase nas Alterações Unilaterais do Contrato, que será realizado nos dias 16/11/2020 a 19/11/2020. ;1;R$ 1.290,00;CURITIBA;
31/2020;Aquisição de Microscópio Biológico modelo BX43F, para atendimento de demandas do projeto Laboratório de Ecologia e Conservação da Biodiversidade: um estímulo ao desenvolvimento científico e tecnológico do IFPR, desenvolvido pelo Campus Curitiba em parceria com o Campus Pinhais do Instituto Federal do Paraná.;1;R$ 96.948,74;CURITIBA;
32/2020;Serviço de abastecimento de água e coleta de esgoto pela SANEPAR ao Campus Curitiba, para atendimento das necessidades da unidade durante o exercício de 2021.;1;R$ 48.000,00;CURITIBA;
19/2020;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA PARA O EXERCÍCIO 2021 - IFPR - Campus Umuarama;1;R$ 18.000,00;UMUARAMA;
01/2020;Serviços de fornecimento de água e coleta de esgoto para o IFPR Campus Irati, no exercício de 2020.;1;R$ 39.600,00;IRATI;
01/2020;Contratação de pessoa jurídica especializada na prestação de serviço de fornecimento de água e coleta de esgoto, para atender a demanda do IFPR - Campus Jacarezinho no exercício 2021.;1;R$ 15.600,00;JACAREZINHO;
17/2020;Contratação de serviços de fornecimento de água e esgoto para o IFPR - Campus Paranaguá para o exercício de 2021.;1;R$ 80.000,00;PARANAGUÁ;
02/2020;Fornecimento de água e coleta de esgoto.;1;R$ 50.000,00;PARANAVAÍ;
08/2020;Contratação de serviços de fornecimento de água e esgoto - Complementação para 2020 - Campus Pinhais.;1;R$ 6.000,00;PINHAIS;
21/2020;Pagamento de taxa de inscrição em eventos de capacitação - Curso: Planejamento e Gestão do Patrimônio Público, as NBCASP e o Desfazimento de Bens, 100% online e ao vivo.;1;R$ 1.290,00;PINHAIS;
01/2020;Contratação de Serviços de Fornecimento de Água e Esgoto para o IFPR Campus Pitanga.;1;R$ 24.000,00;PITANGA;
01/2021;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E ESGOTO - CAMPUS COLOMBO PARA O ANO/EXERCÍCIO 2021.;1;R$ 12.000,00;CAMPUS/COLOMBO;INCLUÍDO
02/2021;Estimativa de despesa com fornecimento de água e coleta de esgoto para o IFPR Campus Irati no Exercício de 2021.;1;R$ 36.000,00;CAMPUS IRATI;INCLUÍDO
03/2021;Estimativa de despesa com fornecimento de água e coleta de esgoto para o IFPR Campus Avançado Barracão no Exercício de 2021.;1;R$ 9.600,00;CAMPUS BARRACÃO;INCLUÍDO
04/2021;Contratação de serviço de fornecimento de água e esgoto para a unidade Reitoria- Exercício 2020.;1;R$ 44.199,00;PROAD;INCLUÍDO
05/2021;Contratação de serviço de fornecimento de água e esgoto para o Campus Avançado Coronel Vivida- Exercício 2021.;1;R$ 10.000,00;CAMPUS AVANÇADO CORONEL VIVIDA;INCLUÍDO
06/2021;Contratação de Serviço de Fornecimento de Água - Campus União da Vitória para o exercício 2021;1;R$ 14.400,00;CAMPUS UNIÃO DA VITÓRIA;INCLUÍDO
07/2021;Contratação de fornecimento de água e coleta de esgoto para o IFPR Campus Pinhais, no Exercício de 2021.;1;R$ 8.400,00;CAMPUS PINHAIS;INCLUÍDO
08/2021;Contratação de fornecimento de água e coleta de esgoto para o IFPR Campus Foz do Iguaçu, para o exercício 2021.;1;R$ 42.000,00;CAMPUS FOZ DO IGUAÇU;INCLUÍDO
09/2021;Contratação de fornecimento de água e coleta de esgoto para o EaD/IFPR para o exercício 2021;1;R$ 30.000,00;DIRETORIA SISTÊMICA / EAD;INCLUÍDO
10/2021;;;;;INCLUÍDO
11/2021;Contratação de fornecimento de água e coleta de esgoto para Campus Palmas/IFPR para o exercício 2021;1;R$ 67.200,00;CAMPUS PALMAS / SECCON;INCLUÍDO
12/2021;Contratação de fornecimento de água e coleta de esgoto para Campus Jaguariaíva/IFPR para o exercício 2021;1;R$ 24.000,00;CAMPUS JAGUARIAÍVA/DIPLAD;INCLUÍDO
13/2021;Contratação de fornecimento de água e coleta de esgoto para Campus Paranavaí/IFPR para o exercício 2021.;1;R$ 48.000,00;PARANAVAÍ;INCLUÍDO
14/2021;Pagamento de taxa de inscrição em curso de capacitação.;1;R$ 1.790,00;PROGEPE;INCLUÍDO
15/2021;Solicitação de pagamento de taxa de inscrição para o curso online ao vivo: SIAPE? - SIAPECAD NA PRÁTICA, ofertado pela empresa Priori Treinamento e Aperfeiçoamento, para a servidora FRANCIELLE BRAZNICK, com previsão de realização entre os dias: 24/05/2021 a 28/05/2021, com carga horária de 24 (vinte e quatro) horas.;1;R$ 1.680,00;PROGEPE;INCLUÍDO
16/2021;Aquisição de Controle Remoto Pendente tipo HBA Centro de Usinagem CNC D600;1;R$ 4.787,16;CURITIBA;INCLUÍDO
17/2021;Pagamento de taxa de anuidade a Associação Nacional de Entidades Promotoras de Empreendimento Inovadores (Anprotec);1;R$ 2.715,00;SF/PROEPPI;INCLUÍDO
18/2021;Pagamento de taxas diversas, via GRU, para pedidos relativos aos Depósitos de Patentes, Registro de Marcas e Registro de Programa de Computador do IFPR junto ao Instituto Nacional de Propriedade Industrial - INPI.;1;R$ 5.000,00;SF/PROEPPI;INCLUÍDO
19/2021;Pagamento de taxa de anuidade do Fórum Nacional de Gestores de Inovação e Transferência de Tecnologia (Fortec);1;R$ 1.700,00;SF/PROEPPI;INCLUÍDO
20/2021;A contratação de pessoa jurídica especializada na prestação de serviço de capacitação para atender a demanda do Instituto Federal do Paraná - Campus Jacarezinho no exercício 2021, referente a curso de Conformidade de Gestão.;1;R$ 3.380,00;JACAREZINHO;INCLUÍDO
21/2021;Pagamento de taxa de inscrição Congresso de Engenharia COBENGE;1;R$ 400,00;CAMPO LARGO;INCLUÍDO
22/2021;Taxa de Inscrição para a capacitação eSOCIAL - REINF e DCTFWEB PARA ORGÃOS PÚBLICOS;1;R$ 12.900,00;SF/PROEPPI;INCLUÍDO
23/2021;Aquisição de Insumos Pesquisa Covid Campus Londrina;4;R$ 1.743,92;CAMPUS LONDRINA;INCLUÍDO
24/2021;Pagamento de taxa de inscrição em eventos de capacitação - Curso: Prático de elaboração de planilha de custos e formação de preços para contratação de serviços terceirizados e repactuação.;1;R$ 1.190,00;CAMPUS CASCAVEL;INCLUÍDO
25/2021;"Aquisição conjunto de processamento de dados e programa de medição geométrica MCOSMOS-1 manual
 para tridimensional";;R$ 32.709,82;CURITIBA;INCLUÍDO
26/2021;Atender as despesas com a inscrição no XLV Encontro da ANPAD – EnANPAD 2021, a realizar-se de forma on-line.;1;R$ 420,00;UMUARAMA;INCLUÍDO
27/2021;Pagamento de taxa de anuidade do Conselho Paranaense de Pró-Reitores de Pesquisa e Pós-Graduação - CPPG;1;R$ 3.000,16;SF/PROEPPI;INCLUÍDO
28/2021;CONTRATAÇÃO DE ASSINATURA PARA DISPONIBILIZAÇÃO E GERENCIAMENTO DE COLEÇÕES DE NORMAS TÉCNICAS BRASILEIRAS (ABNT-NBR), MERCOSUL (NM) E ISO.;1;R$ 17.678,80;PROENS;INCLUÍDO
29/2021;Serviço de manutenção, ajuste e calibração do Braço de Medição Tridimensional Romer Absolute com sistema Scanner;1;R$ 47.499,99;CURITIBA;INCLUÍDO
30/2021;Pagamento de taxa de inscrição em curso de capacitação de SIAFI Operacional para iniciantes.;1;R$ 1.200,00;JACAREZINHO;INCLUÍDO
31/2021;Aquisição de software SolidWorks para atender a demanda do Laboratório MAKER;;R$ 19.845,00;JACAREZINHO;INCLUÍDO
32/2021;Contratação de empresa especializada para prestação de serviço postal de recebimento, transporte e entrega de objetos de correspondência, valores e encomendas, bem como serviços de malotes para atender todas as unidades do IFPR.;1;R$ 599.499,20;GABINETE DO REITOR;INCLUÍDO
33/2021;Aquisição de números de Internacional Standart Book Number - ISBN para atender demandas da Editora IFPR e visando viabilizar o processo editorial da Editora IFPR .;1;R$ 660,00;EDIT/PROEPPI;INCLUÍDO
;;;;;
DISPENSA;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
01/2019;Empenho para atender despesa com fornecimento de energia elétrica;1;R$ 162.000,00;ASSIS CHATEAUBRIAND;
02/2019;Contratação de serviço técnico especial izado de adequação da rede elétrica interna do Bloco II do Instituto Federal do Paraná;1;R$ 3.914,00;ASSIS CHATEAUBRIAND;
03/2019;Contratação de serviços de treinamento e aperfeiçoamento de pessoal na Administração P ública: serviços de treinamento e aperfeiçoamen to de pessoal, capacitação em Governança da Seg urança da Informação.;1;R$ 2.048,00;ASSIS CHATEAUBRIAND;
04/2019;Serviço técnico especializado para manu tenção corretiva de ares-condicionados com forn ecimento de peças e mão de obra completa para instalação.;1;R$ 2.150,00;ASSIS CHATEAUBRIAND;
05/2019;Aquisição de bateria automotiva de 100 amperes para o veículo micro-Ônibus Marcopolo V olare, placas ATZ-9123;1;R$ 430,00;ASSIS CHATEAUBRIAND;
06/2019;Serviço de emissão, renovação e validaç ão de Certificado Digital do tipo A3, pessoa fí sica (e-CPF), padrão ICP Brasil. Validade de 3 (três anos).;1;R$ 198,00;ASSIS CHATEAUBRIAND;
07/2019;ontratação de seguro predial para o IF PR - Campus Assis Chateaubriand com cobertura c ontra danos ou perda total causada por incêndio , raio e explosão de qualquer natureza, vendava l, danos elétricos, furto e roubo de bens, queb ra de vidros e responsabilidade civil.;1;R$ 5.107,55;ASSIS CHATEAUBRIAND;
08/2019;Contratação de empresa especializada em levantamento topográfico e medição de imóvel u rbano;1;R$ 3.800,00;ASSIS CHATEAUBRIAND;
09/2019;Aquisição de DOMO INFLÁVEL 6 METROS;1;R$ 17.500,00;ASSIS CHATEAUBRIAND;
10/2019;Aquisição de DOMO INFLÁVEL 6 METROS;1;R$ 17.500,00;ASSIS CHATEAUBRIAND;
11/2019;Contratação de empresa prestadora de se rviços de seguro para os veículos do IFPR;2;R$ 4.088,81;ASSIS CHATEAUBRIAND;
12/2019;Aquisição de recarga de extintores (águ a pressurizada 10L, pó químico BC 4 kg, pó quím ico seco 6 kg, gás carbônico CO2 4 kg, pó quími co ABC 4 kg, gás carbônico CO2 6 kg), mangueira 15 metros 1 1/2 para combate a incêndio e test e hidrostático de mangueira de incêndio de 1 1/ 2 - tipo 2;8;R$ 8.712,00;ASSIS CHATEAUBRIAND;
01/2020;Contratação direta para atender despesa com fornecimento de energia elétrica para o IFPR;1;R$ 152.600,00;ASSIS CHATEAUBRIAND;
02/2020;Contratação de remanescente para a EXECUÇÃO DA OBRA DO LABORATÓRIO DE ELETROMECÂNICA - IFPR ;1;R$ 971.454,65;ASSIS CHATEAUBRIAND;
03/2020;Contratação de empresa especializada na prestação de serviço de manutenção preventiva ;1;R$ 15.726,50;ASSIS CHATEAUBRIAND;
04/2020;Aquisição de totem display personalizado para álcool gel.;1;R$ 2.900,00;ASSIS CHATEAUBRIAND;
05/2020;Contratação de seguro predial para o IFPR - Campus Assis Chateaubriand com cobertura contra danos;1;R$ 5.050,66;ASSIS CHATEAUBRIAND;
06/2020;Serviço de emissão, renovação e validação de Certificado Digital do tipo A3, pessoa física (e-CPF);2;R$ 2.153,00;ASSIS CHATEAUBRIAND;
07/2020;Contratação de empresa especializada para prestação de serviço de readequação;1;R$ 745,50;ASSIS CHATEAUBRIAND;
08/2020;Aquisição de gêneros alimentícios da Agricultura Familiar ou Empreendimento Familiar Rural;1;R$ 2.766,00;ASSIS CHATEAUBRIAND;
09/2020;Contratação de empresa prestadora de serviços de seguro para os veículos do IFPR;1;R$ 4.088,62;ASSIS CHATEAUBRIAND;
10/2020;Aquisição de kits de alimentação a serem distribuídos aos alunos do IFPR ;1;R$ 23.652,00;ASSIS CHATEAUBRIAND;
01/2019;Fornecimento e emissão de certificado digital (token);2;R$ 1.122,00;CAMPO LARGO;
02/2019;Aquisição rolo bobina;1;R$ 636,00;CAMPO LARGO;
03/2019;Aquisição bateria rádio comunicador;1;R$ 283,03;CAMPO LARGO;
05/2019;Fornecimento e instalação de 02 unidades de motor deslizante;1;R$ 2.210,00;CAMPO LARGO;
04/2019;Seguro Patrimonial;1;R$ 2.389,56;CAMPO LARGO;
06/2019;Aquisição fechadura elétrica;1;R$ 930,00;CAMPO LARGO;
07/2019;Aquisição de gases industriais;2;R$ 460,00;CAMPO LARGO;
08/2019;Manutenção e a substituição da bateria de comando de dois centros de usinagem;2;R$ 1.718,60;CAMPO LARGO;
09/2019;Recarga de extintores e ensaio hidrostático;2;R$ 269,00;CAMPO LARGO;
01/2020;Contratação de empresa especializada para a prestação de serviços de Seguro Patrimonial;1;R$ 3.527,64;CAMPO LARGO;
02/2020;Contratação de empresa especializada no fornecimento e emissão de certificados digitais (tokens);2;R$ 500,00;CAMPO LARGO;
03/2020;Aquisição de açúcar cristal, embalagem 5kg;1;R$ 700,80;CAMPO LARGO;
04/2020;Recarga de Extintores e Teste Hidrostático em Mangueiras;7;R$ 1.324,00;CAMPO LARGO;
05/2020;Contratação de empresa especializada no treinamento teórico e prático ;1;R$ 8.390,00;CAMPO LARGO;
06/2020;Aquisição de gêneros alimentícios para alimentação escolar FNDE/PNAE da agricultura familiar;5;R$ 19.235,16;CAMPO LARGO;
07/2020;Aquisição de kits de alimentos para doação aos alunos matriculados no ensino médio regular e PROEJA ...;1;R$ 6.752,06;CAMPO LARGO;
08/2020;Kit geração fotovoltaica sem painel e sem inversor;1;R$ 20.688,00;CAMPO LARGO;
09/2020;Kit geração fotovoltaica sem painel e sem inversor;1;R$ 20.688,00;CAMPO LARGO;
10/2020;Contratação de empresa especializada para o fornecimento de energia elétrica para o Campus Campo Largo;1;R$ 134.400,00;CAMPO LARGO;
01/2020;Contratação de serviços de certificação digital, segundo as normas da ICP-BRASIL;1;R$ 1.830,00;CAPANEMA;
02/2020;Contratação de empresa especializada para fornecimento de extintores ABC com validade para 5 anos, ;13;R$ 10.680,00;CAPANEMA;
03/2020;Contratação de empresa especializada para fornecimento de extintores ABC com validade para 5 anos;3;R$ 300,00;CAPANEMA;
04/2020;Contratação de empresa especializada na prestação de serviços em seguro predial ;1;R$ 3.228,21;CAPANEMA;
05/2020;Aquisição de totem personalizado para álcool em gel com acionamento por pedal,;1;R$ 6.400,00;CAPANEMA;
06/2020;Estimativa de despesa com fornecimento de energia elétrica para o Campus Capanema;1;R$ 90.000,00;CAPANEMA;
07/2020;stimativa de despesa com fornecimento de energia elétrica para o Campus Capanema ;1;R$ 90.000,00;CAPANEMA;
01/2019;Estimativa das despesas com forneciment o de energia elétrica do Campus Avançado Quedas do Iguaçu no exercício de 2019;;R$ 39.600,00;CASCAVEL;
02/2019;Serviço de desinfecção e monitoramento da água de 01 poço artesiano - Campus Quedas do Iguaçu;;R$ 5.400,00;CASCAVEL;
03/2019;Contratação de empresa especializada pa ra prestação de serviços de manutenção preventi va e corretiva nos aparelhos de ar condicionado instalados no Campus Cascavel do IFPR;;R$ 14.970,00;CASCAVEL;
04/2019;Fornecimento de Controlador de acesso t ipo USB token e instalação de Certificado digit al e-CPF tipo A3, validade 36 meses;;R$ 2.778,00;CASCAVEL;
05/2019;Aquisição de recarga de botijão de gás GLP 13 kg - Campus Cascavel;;R$ 900,00;CASCAVEL;
06/2019;Serviço de Coffe Break para evento inst itucional no Campus Avançado Quedas do Iguaçu;;R$ 1.035,48;CASCAVEL;
07/2019;Conserto da Central de alarmes de incên dio - Campus Cascavel;;R$ 370,00;CASCAVEL;
08/2019;Aquisição de cabos VGA e Displayport - Campus Cascavel;;R$ 970,00;CASCAVEL;
09/2019;Contratação de empresa especializada pa ra prestação de serviços de manutenção das área s verdes do Campus Cascavel do IFPR.;;R$ 14.882,08;CASCAVEL;
10/2019;Contratação de serviços de marcenaria c om fornecimento de materiais para o Campus de C ascavel;;R$ 4.125,00;CASCAVEL;
11/2019;Aquisição de Fonte de Alimentação para Storage - Campus Cascavel;;R$ 4.642,14;CASCAVEL;
12/2019;Contratação de empresa especializada em prestação de serviços de Seguro Predial;;R$ 2.349,22;CASCAVEL;
13/2019;Contratação de serviços para manutenção elétrica predial para o Campus Avançado Quedas do Iguaçu;;R$ 1.542,29;CASCAVEL;
14/2019;Aquisição de Controle e Pilhas para Con trole de Portão Eletrônico Campus Cascavel;;R$ 155,00;CASCAVEL;
15/2019;Material de Limpeza e Higienização;;R$ 902,00;CASCAVEL;
16/2019;Material de Limpeza e Higienização;;R$ 4.640,60;CASCAVEL;
17/2019;Material de Limpeza e Higienização;;R$ 989,00;CASCAVEL;
18/2019;Serviço de recarga dos extintores de in cêndio, teste hidrostático e manutenção das man gueiras dos hidrantes do IFPR Campus Cascavel.;;R$ 1.702,00;CASCAVEL;
19/2019;Serviço de vigilância patrimonial por m eio de monitoramento eletrônico;;R$ 4.200,00;CASCAVEL;
20/2019;Serviço de marcenaria - confecção e ins talação de portas para armários de escritório;;R$ 1.397,00;CASCAVEL;
21/2019;Contratação de serviços para conserto d e máquina de lavar modelo Eletrolux 8kg;;R$ 350,00;CASCAVEL;
22/2019;Contratação de Empresa Especializada em Prestação de Serviço de Seguro Predial Campus Avançado Quedas do Iguaçu;;R$ 3.772,17;CASCAVEL;
23/2019;Serviço para conserto de máquina encera deira modelo Rohmer IFPR Campus Cascavel;;R$ 85,00;CASCAVEL;
24/2019;Aquisição de Fechadura modelo Serralhei ro Externa para o Campus Cascavel;;R$ 347,00;CASCAVEL;
25/2019;Aquisição de tubos de concreto para o I FPR Campus Cascavel;;R$ 264,80;CASCAVEL;
26/2019;Aquisição de placas de identificação de Extintores e Mangueira de Hidrante para o IFPR Campus Cascavel;;R$ 364,00;CASCAVEL;
27/2019;Aquisição de kit de sonorização em Torr e com potência entre 1000W a 2200W Campus Avanç ado Quedas do Iguaçu;;R$ 4.168,00;CASCAVEL;
28/2019;Aquisição de Forno Micro-Ondas 34 litro s para o IFPR Campus Avançado Quedas do Iguaçu;;R$ 1.190,00;CASCAVEL;
29/2019;Aquisição e instalação de um a parelho de ar condicionado 30.000 BTU s - Campus Avança do Quedas do Iguaçu;;R$ 5.135,00;CASCAVEL;
30/2019;Contratação de empresa para aquisição d e CERTIFICADO DIGITAL COM TOKEN A3 PESSOA JURÍD ICA (E-CNPJ) para o Campus Cascavel.;;R$ 434,25;CASCAVEL;
31/2019;Aquisição de tubos de concreto 800mm pa ra o Campus Cascavel;;R$ 328,00;CASCAVEL;
32/2019;Aquisição de Caixa de Passagem de Concr eto para o IFPR Campus Cascavel;;R$ 169,35;CASCAVEL;
33/2019;Aquisição de recargas de gás de cozinha GLP 13 KG;;R$ 900,00;CASCAVEL;
34/2019;Contratação de empresa especializada em em treinamento para Formação de Brigadistas de Incêndio Voluntários, ministrado por brigadist a credenciado junto ao Corpo de Bombeiros Milit ares do Estado do Paraná para o Campus Avançado Quedas do Iguaçu;;R$ 3.340,00;CASCAVEL;
35/2019;Aquisição de Lixeiras para Coleta Selet iva para IFPR Campus de Cascavel.;;R$ 7.192,38;CASCAVEL;
36/2019;Aquisição de suporte para teto para pro jetor multimídia para o IFPR Campus Cascavel;;R$ 1.440,00;CASCAVEL;
37/2019;Aquisição de carregadores de 10V 600mA para a bateria de 9797 Lego Mindstorms EV3 para o Campus Avançado Quedas do Iguaçu;;R$ 1.259,00;CASCAVEL;
38/2019;Aquisição de materiais para instalação de rede de fibra ótica no IFPR Campus Cascavel;;R$ 14.596,48;CASCAVEL;
39/2019;Aquisição de Equipamentos de Vigilância e Monitoramento para o IFPR Campus Cascavel;;R$ 8.861,00;CASCAVEL;
40/2019;Aquisição de adesivo para identificação de coleta seletiva para o IFPR Campus Cascavel;;R$ 230,00;CASCAVEL;
41/2019;Aquisição de materiais de infraestrutur a consumo para o Curso de Edificações e Manuten ção do Campus.;;R$ 7.365,43;CASCAVEL;
42/2019;Contratação de serviços de montagem e f abricação de móveis planejados e divisórias par a mesas em L para IFPR Campus Cascavel;;R$ 14.980,00;CASCAVEL;
43/2019;Contratação de serviços de montagem e f abricação de móveis planejados e divisórias par a para mesas em L para o IFPR Campus Cascavel.;;R$ 14.980,00;CASCAVEL;
44/2019;Aquisição de materiais elétricos para o novo Bloco Didático do IFPR Campus Cascavel.;;R$ 8.835,89;CASCAVEL;
45/2019;Contratação de serviços de montagem e f abricação de móveis planejados para laboratório e divisórias para mesas em L para IFPR Campus Cascavel;;R$ 14.980,00;CASCAVEL;
46/2019;Aquisição de gaveteiros volantes para o IFPR - Campus Cascavel;;R$ 14.350,00;CASCAVEL;
47/2019;Biombo Aramado de Chão Duplo Branco (me didas aproximadas 1,60 x 1,30m). Produto de fer ro/ aço reforçado;;R$ 2.906,77;CASCAVEL;
48/2019;Aquisição de Balcão para Forno e Micro- Ondas, com mínimo 2 portas - Branco;;R$ 1.000,00;CASCAVEL;
49/2019;Aquisição de suporte de parede de TV pa ra o IFPR Campus Cascavel.;;R$ 150,00;CASCAVEL;
50/2019;Estimativa de despesas com fornecimento de energia elétrica para o Instituto Federal d o Paraná - Campus Cascavel para o exercício 2020;;R$ 181.859,00;CASCAVEL;
51/2019;Aquisição de Central de Alarme de Incên dio para o IFPR Campus Cascavel.;;R$ 950,00;CASCAVEL;
52/2019;Aquisição de materiais de consumo de TI C e Processamento de Dados;;R$ 8.413,20;CASCAVEL;
53/2019;Estimativa das despesas para o fornecim ento de energia elétrica do IFPR - Campus Avanç ado Quedas do Iguaçu para o exercício 2020;;R$ 42.000,00;CASCAVEL;
54/2019;Aquisição de complemento de câmeras de segurança para o IFPR Campus Cascavel;;R$ 5.334,00;CASCAVEL;
55/2019;Aquisição de materiais para manutenção Laboratório de Informática do IFPR - Campus Cas cavel.;;R$ 1.558,83;CASCAVEL;
01/2020;Contratação de serviços de manutenção tratamento de água do poço artesiano;1;R$ 5.784,00;CASCAVEL;
02/2020;Aquisição de papel toalha interfolhado 100% celulose virgem, branco, alta absorção;1;R$ 4.109,33;CASCAVEL;
04/2020;Adequação no sistema de alarme e bomba de incêndio do IFPR Campus Cascavel;5;R$ 2.834,00;CASCAVEL;
05/2020;Aquisição de insumos diversos, em caráter emergencial, para fabricação de álcool em gel para o IFPR;4;R$ 2.963,50;CASCAVEL;
06/2020;Aquisição de recarga dos extintores de incêndio do IFPR Campus Avançado Quedas do Iguaçu.;2;R$ 820,00;CASCAVEL;
07/2020;Contratação de empresa especializada para a prestação de serviços de Seguro Predial no IFPR ;1;R$ 3.408,16;CASCAVEL;
08/2020;Contratação de empresa especializada para prestação de serviços de manutenção das áreas externa ;1;R$ 16.625,20;CASCAVEL;
09/2020;Aquisição de materiais para manutenção dos Laboratórios de Informática para o IFPR Campus Cascavel;11;R$ 1.956,95;CASCAVEL;
10/2020;Contratação de pessoa jurídica para prestação de serviços de desinsetização, desratização e limpeza;3;R$ 8.700,00;CASCAVEL;
11/2020;Aquisição de impermeabilizante para manutenção parede Sala TI / EAD IFPR Cascavel;1;R$ 238,80;CASCAVEL;
12/2020;Aquisição de insumos diversos destinados à limpeza, higienização e para fabricação de álcool em gel ;15;R$ 7.232,68;CASCAVEL;
13/2020;Contratação de empresa especializada para prestação de serviços de montagem e instalação de armários;5;R$ 12.900,00;CASCAVEL;
14/2020;Contratação de empresa especializada para recarga dos extintores de incêndio,;5;R$ 2.598,00;CASCAVEL;
15/2020;Aquisição e instalação de forro para Cortinas para os laboratórios de Informática do IFPR ;2;R$ 4.747,20;CASCAVEL;
16/2020;Contratação de empresa especializada em prestação de serviço de seguro predial para IFPR;1;R$ 4.333,81;CASCAVEL;
17/2020;Contratação emergencial de empresa especializada para prestação de serviços de manutenção;2;R$ 6.780,00;CASCAVEL;
18/2020;Aquisição de kits de alimentação (cestas básicas) a serem distribuídos aos alunos do IFPR ;1;R$ 15.633,43;CASCAVEL;
19/2020;Contratação de empresa especializada na emissão de controladores de acesso tipo Token ;2;R$ 1.420,00;CASCAVEL;
21/2020;Aquisição de quadro branco MEDINDO 1,50X 1,20 M para o IFPR Campus Cascavel.;1;R$ 467,66;CASCAVEL;
22/2020;Aquisição de Bancadas fixas de trabalho para o Laboratório de Física do IFPR Campus Cascavel;1;R$ 3.999,00;CASCAVEL;
23/2020;Contratação de empresa especializada na prestação de serviço de manutenção preventiva e corretiva ;1;R$ 8.340,00;CASCAVEL;
24/2020;Contratação de empresa especializada para prestação de serviços de manutenção preventiva e corretiva;1;R$ 11.000,00;CASCAVEL;
25/2020;Aquisição de totem display personalizado para álcool em gel com pedal, conforme demanda do IFPR;1;R$ 799,98;CASCAVEL;
26/2020;Aquisição de cestas básicas (kit alimentos), com vistas a atender a necessidade dos discentes do IFPR;1;R$ 4.982,00;CASCAVEL;
27/2020;Aquisição de Itens de consumo diversos para manutenção do Projeto horta e outros itens de manutenção;9;R$ 2.075,81;CASCAVEL;
28/2020;Aquisição de equipamento de pesquisa para o IFPR Campus Cascavel, ;1;R$ 45.000,00;CASCAVEL;
29/2020;Aquisição de peças de hardware para manutenção microcomputadores recebidos como doação ;3;R$ 27.547,10;CASCAVEL;
30/2020;Aquisição bancos e mesas em concreto armado para reestruturação dos ambientes externos do IFPR;2;R$ 13.722,00;CASCAVEL;
31/2020;Aquisição de Câmeras de monitoramento para o IFPR Campus Cascavel.;1;R$ 2.760,00;CASCAVEL;
32/2020;Contratação de empresa especializada na prestação de serviço para manutenção de monitores;1;R$ 480,00;CASCAVEL;
33/2020;Aquisição de Itens de consumo diversos para manutenção do IFPR Campus Cascavel.;3;R$ 1.266,00;CASCAVEL;
34/2020;Aquisição de kits de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural;1;R$ 6.565,64;CASCAVEL;
35/2020;Estimativa de despesas com fornecimento de energia elétrica do IFPR;1;R$ 132.000,00;CASCAVEL;
36/2020;Estimativa das despesas para o fornecimento de energia elétrica do IFPR;1;R$ 42.000,00;CASCAVEL;
01/2020;Contratação de empresa especializada no treinamento teórico e prático;1;R$ 3.790,00;COLOMBO;
01/2019;Contratação de empresa especializada em locação e manutenção de sanitário químicos par a uso no estacionamento do IFPR;;R$ 7.200,00;CURITIBA;
02/2019;Recarga de botijão de cozinha P13 GLP p ara atender a demanda de copa do Campus Curitib a do Instituto Federal do Paraná, na preparação do café pelos terceirizados, e uso no curso de prótese dentária;;R$ 3.250,00;CURITIBA;
03/2019;Contratação de empresa especializada na realização de manutenção corretiva e preventiv a em solução de controle de acesso (catracas) d o IFPR;;R$ 5.940,00;CURITIBA;
04/2019;Aquisição de carimbos para atender as d emandas do Instituto Federal do Paraná;;R$ 1.894,70;CURITIBA;
05/2019;Contratação de empresa especializada em serviço de chaveiro;;R$ 2.301,50;CURITIBA;
